category,year,annualGrammy,awardType,name,awardFor
"Best Gospel Performance, Female",1985,27,Individual,Angels,Angels
"Best Gospel Performance, Male",1985,27,Individual,Michael W. Smith,Michael W. Smith
Best Gospel Performance By A Duo Or Group,1985,27,Individual,Keep The Flame Burning,Keep The Flame Burning
"Best Soul Gospel Performance, Female",1985,27,Work,Shirley Caesar,Sailin'
"Best Soul Gospel Performance, Male",1985,27,Individual,Always Remember,Always Remember
Best Soul Gospel Performance By A Duo Or Group,1985,27,Work,Shirley Caesar,Sailin' On The Sea Of Your Love
Best Inspirational Performance,1985,27,Individual,Forgive Me,Forgive Me
Best Latin Pop Performance,1985,27,Individual,Always In My Heart (Siempre En Mi Corazon),Always In My Heart (Siempre En Mi Corazon)
Best Tropical Latin Performance,1985,27,Individual,Palo Pa Rumba,Palo Pa Rumba
Best Mexican-American Performance,1985,27,Individual,Me Gustas Tal Como Eres,Me Gustas Tal Como Eres
Best Traditional Blues Recording,1985,27,Individual,Blues Explosion,Blues Explosion
Best Ethnic Or Traditional Folk Recording,1985,27,Individual,Elizabeth Cotten Live!,Elizabeth Cotten Live!
Best Reggae Recording,1985,27,Individual,Anthem,Anthem
Best Recording For Children,1985,27,Individual,Where The Sidewalk Ends,Where The Sidewalk Ends
Best Comedy Recording,1985,27,Work,"""Weird Al"" Yankovic",Eat It
Best Spoken Word Or Non-Musical Recording,1985,27,Individual,The Words Of Gandhi,The Words Of Gandhi
Best Instrumental Composition,1985,27,Work,John Williams,Olympic Fanfare & Theme
Best Album Of Original Score Written For A Motion Picture Or A Television Special,1985,27,Work,Prince,Purple Rain
Best Cast Show Album,1985,27,Individual,Sunday In The Park With George,Sunday In The Park With George
"Best Video, Short Form",1985,27,Work,David Bowie,David Bowie
Best Video Album,1985,27,Work,Michael Jackson,Making Michael Jackson's Thriller
Best Jazz Vocal Performance,1985,27,Individual,Nothin' But The Blues,Nothin' But The Blues
"Best Jazz Instrumental Performance, Soloist",1985,27,Individual,Hot House Flowers,Hot House Flowers
"Best Jazz Instrumental Performance, Group",1985,27,Individual,New York Scene,New York Scene
"Best Jazz Instrumental Performance, Big Band",1985,27,Individual,88 Basie Street,88 Basie Street
Best Arrangement On An Instrumental,1985,27,Work,Quincy Jones,Grace (Gymnastics Theme)
Best Instrumental Arrangement Accompanying Vocal(s),1985,27,Individual,Hard Habit To Break,Hard Habit To Break
Best Vocal Arrangement For Two Or More Voices,1985,27,Individual,Automatic,Automatic
Best Album Package,1985,27,Individual,She's So Unusual,She's So Unusual
Best Album Notes,1985,27,Individual,Big Band Jazz,Big Band Jazz
Best Historical Album,1985,27,Individual,Big Band Jazz,Big Band Jazz
Best Engineered Recording - Non-Classical,1985,27,Individual,17,17
Producer Of The Year (Non-Classical),1985,27,Work,Lionel Richie,James Anthony Carmichael & Lionel Richie
Best Classical Album,1985,27,Individual,Amadeus,Amadeus
Best Classical Orchestral Recording,1985,27,Individual,Prokofiev: Symphony No. 5 In B Flat,Prokofiev: Symphony No. 5 In B Flat
Best Opera Recording,1985,27,Individual,Bizet: Carmen,Bizet: Carmen
Best Choral Performance (Other Than Opera),1985,27,Individual,Brahms: A German Requiem,Brahms: A German Requiem
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),1985,27,Individual,"Wynton Marsalis-Edita Gruberova-Handel, Purcell, Etc,","Wynton Marsalis-Edita Gruberova-Handel, Purcell, Etc,"
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),1985,27,Work,Yo-Yo Ma,Bach: The Unaccompanied Cello Suites
Best Chamber Music Performance,1985,27,Individual,Beethoven: The Late String Quartets,Beethoven: The Late String Quartets
Best Classical Vocal Soloist Performance,1985,27,Individual,Ravel: Songs Of Maurice Ravel,Ravel: Songs Of Maurice Ravel
Best New Classical Composition,1985,27,Individual,Barber: Antony And Cleopatra,Barber: Antony And Cleopatra
"Best Engineered Recording, Classical",1985,27,Individual,"Prokofiev: Symphony No. 5 In B Flat, Op. 100","Prokofiev: Symphony No. 5 In B Flat, Op. 100"
Classical Producer Of The Year,1985,27,Individual,Steven Epstein,Steven Epstein
Record Of The Year,1986,28,Individual,We Are The World,We Are The World
Album Of The Year,1986,28,Individual,No Jacket Required,No Jacket Required
Song Of The Year,1986,28,Work,Lionel Richie,We Are The World
Best New Artist,1986,28,Individual,Sade,Sade
"Best Pop Vocal Performance, Female",1986,28,Work,Whitney Houston,Saving All My Love For You
"Best Pop Vocal Performance, Male",1986,28,Individual,No Jacket Required,No Jacket Required
Best Pop Performance By A Duo Or Group With Vocal,1986,28,Individual,We Are The World,We Are The World
"Best Pop Instrumental Performance (Orchestra, Group Or Soloist)",1986,28,Individual,Miami Vice Theme,Miami Vice Theme
"Best Rock Vocal Performance, Female",1986,28,Individual,One Of The Living,One Of The Living
"Best Rock Vocal Performance, Male",1986,28,Individual,The Boys Of Summer,The Boys Of Summer
Best Rock Performance By A Duo Or Group With Vocal,1986,28,Individual,Money For Nothing,Money For Nothing
"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",1986,28,Work,Jeff Beck,Escape
"Best R&B Vocal Performance, Female",1986,28,Work,Aretha Franklin,Freeway Of Love
"Best R&B Vocal Performance, Male",1986,28,Work,Stevie Wonder,In Square Circle
Best R&B Performance By A Duo Or Group With Vocal,1986,28,Individual,Nightshift,Nightshift
"Best R&B Instrumental Performance (Orchestra, Group Or Soloist)",1986,28,Individual,Musician,Musician
Best Rhythm & Blues Song,1986,28,Individual,Freeway Of Love,Freeway Of Love
"Best Jazz Fusion Performance, Vocal Or Instrumental",1986,28,Individual,Straight To The Heart,Straight To The Heart
"Best Jazz Vocal Performance, Female",1986,28,Individual,Cleo At Carnegie - The 10th Anniversary Concert,Cleo At Carnegie - The 10th Anniversary Concert
"Best Jazz Vocal Performance, Male",1986,28,Individual,Another Night In Tunisia,Another Night In Tunisia
"Best Jazz Vocal Performance, Duo Or Group",1986,28,Individual,Vocalese,Vocalese
"Best Jazz Instrumental Performance, Soloist",1986,28,Individual,Black Codes From The Underground,Black Codes From The Underground
"Best Jazz Instrumental Performance, Group",1986,28,Individual,Black Codes From The Underground,Black Codes From The Underground
"Best Jazz Instrumental Performance, Big Band",1986,28,Individual,The Cotton Club - Original Motion Picture Soundtrack,The Cotton Club - Original Motion Picture Soundtrack
"Best Country Vocal Performance, Female",1986,28,Individual,I Don't Know Why You Don't Want Me,I Don't Know Why You Don't Want Me
"Best Country Vocal Performance, Male",1986,28,Individual,Lost In The Fifties Tonight (In The Still Of The Night),Lost In The Fifties Tonight (In The Still Of The Night)
Best Country Performance By A Duo Or Group With Vocal,1986,28,Individual,Why Not Me,Why Not Me
"Best Country Instrumental Performance (Orchestra, Group Or Soloist)",1986,28,Individual,Cosmic Square Dance,Cosmic Square Dance
Best Country Song,1986,28,Individual,Highwayman,Highwayman
"Best Gospel Performance, Female",1986,28,Individual,Unguarded,Unguarded
"Best Gospel Performance, Male",1986,28,Individual,How Excellent Is Thy Name,How Excellent Is Thy Name
"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",1986,28,Individual,I've Just Seen Jesus,I've Just Seen Jesus
"Best Soul Gospel Performance, Female",1986,28,Work,Shirley Caesar,Martin
"Best Soul Gospel Performance, Male",1986,28,Individual,Bring Back The Days Of Yea And Nay,Bring Back The Days Of Yea And Nay
"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",1986,28,Individual,Tomorrow,Tomorrow
Best Inspirational Performance,1986,28,Individual,Come Sunday,Come Sunday
Best Latin Pop Performance,1986,28,Individual,Es Facil Amar,Es Facil Amar
Best Tropical Latin Performance,1986,28,Individual,Mambo Diablo,Mambo Diablo
Best Mexican-American Performance,1986,28,Individual,Simplemente Mujer,Simplemente Mujer
Best Traditional Blues Recording,1986,28,Work,B.B. King,My Guitar Sings The Blues
Best Ethnic Or Traditional Folk Recording,1986,28,Individual,My Toot Toot,My Toot Toot
Best Polka Recording,1986,28,Individual,70 Years Of Hits,70 Years Of Hits
Best Reggae Recording,1986,28,Individual,Cliff Hanger,Cliff Hanger
Best Recording For Children,1986,28,Individual,Follow That Bird - Original Motion Picture Soundtrack,Follow That Bird - Original Motion Picture Soundtrack
Best Comedy Recording,1986,28,Individual,Whoopi Goldberg - Original Broadway Show Recording,Whoopi Goldberg - Original Broadway Show Recording
Best Spoken Word Or Non-Musical Recording,1986,28,Individual,Ma Rainey's Black Bottom,Ma Rainey's Black Bottom
"Best Music Video, Short Form",1986,28,Individual,We Are The World - The Video Event,We Are The World - The Video Event
"Best Music Video, Long Form",1986,28,Individual,Huey Lewis & The News - The Heart Of Rock 'n' Roll,Huey Lewis & The News - The Heart Of Rock 'n' Roll
Best Instrumental Composition,1986,28,Individual,Miami Vice Theme,Miami Vice Theme
Best Album Of Original Score Written For A Motion Picture Or A Television Special,1986,28,Individual,Beverly Hills Cop,Beverly Hills Cop
Best Cast Show Album,1986,28,Individual,West Side Story,West Side Story
Best Arrangement On An Instrumental,1986,28,Individual,Early A.M. Attitude,Early A.M. Attitude
Best Instrumental Arrangement Accompanying Vocal(s),1986,28,Individual,Lush Life,Lush Life
Best Vocal Arrangement For Two Or More Voices,1986,28,Individual,Another Night In Tunisia,Another Night In Tunisia
Best Album Package,1986,28,Individual,Lush Life,Lush Life
Best Album Notes,1986,28,Individual,"Sam Cooke Live At The Harlem Square Club, 1963","Sam Cooke Live At The Harlem Square Club, 1963"
Best Historical Album,1986,28,Individual,RCA/Met - 100 Singers - 100 Years,RCA/Met - 100 Singers - 100 Years
Best Engineered Recording - Non Classical,1986,28,Individual,Brothers In Arms,Brothers In Arms
Producer Of The Year (Non-Classical),1986,28,Individual,Phil Collins & Hugh Padgham,Phil Collins & Hugh Padgham
Best Classical Album,1986,28,Individual,Berlioz: Requiem,Berlioz: Requiem
Best Classical Orchestral Recording,1986,28,Individual,Faure: Pelleas Et Melisande,Faure: Pelleas Et Melisande
Best Opera Recording,1986,28,Work,Georg Solti,Schoenberg: Moses Und Aron
Best Choral Performance (Other Than Opera),1986,28,Individual,Berlioz: Requiem,Berlioz: Requiem
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),1986,28,Work,Yo-Yo Ma,"Elgar: Cello Concerto, Op. 85/Walton: Concerto For Cello & Orch."
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),1986,28,Individual,Ravel: Gaspard De La Nuit; Pavane Pour Une Infante Defunte; Valses Nobles Et Sentimentales,Ravel: Gaspard De La Nuit; Pavane Pour Une Infante Defunte; Valses Nobles Et Sentimentales
Best Chamber Music Performance,1986,28,Work,Yo-Yo Ma,Brahms: Cello And Piano Sonatas In E Minor And F
Best Classical Vocal Soloist Performance,1986,28,Individual,Berlioz: Requiem,Berlioz: Requiem
Best New Classical Artist,1986,28,Individual,Stravinsky: L' Histoire Du Soldat (The Soldier's Tale - Suite) - (also) - Walton: Façade (An Instrumental Suite In The Original Scoring),Stravinsky: L' Histoire Du Soldat (The Soldier's Tale - Suite) - (also) - Walton: Façade (An Instrumental Suite In The Original Scoring)
Best Contemporary Composition,1986,28,Individual,Lloyd Webber: Requiem,Lloyd Webber: Requiem
"Best Engineered Recording, Classical",1986,28,Individual,Berlioz: Requiem,Berlioz: Requiem
Classical Producer Of The Year,1986,28,Work,Robert Woods,Robert Woods
Record Of The Year,1987,29,Individual,Higher Love,Higher Love
Album Of The Year,1987,29,Work,Paul Simon,Graceland
Song Of The Year,1987,29,Work,Elton John,That's What Friends Are For
Best New Artist,1987,29,Individual,Bruce Hornsby & The Range,Bruce Hornsby & The Range
"Best Pop Vocal Performance, Female",1987,29,Work,Barbra Streisand,The Broadway Album
"Best Pop Vocal Performance, Male",1987,29,Individual,Higher Love,Higher Love
Best Pop Performance By A Duo Or Group With Vocal,1987,29,Work,Elton John,That's What Friends Are For
"Best Pop Instrumental Performance, (Orchestra, Group Or Soloist)",1987,29,Individual,Top Gun Anthem,Top Gun Anthem
Best New Age Recording,1987,29,Individual,Down To The Moon,Down To The Moon
"Best Rock Vocal Performance, Female",1987,29,Individual,Back Where You Started,Back Where You Started
"Best Rock Vocal Performance, Male",1987,29,Individual,Addicted To Love,Addicted To Love
Best Rock Performance By A Duo Or Group With Vocal,1987,29,Individual,Missionary Man,Missionary Man
"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",1987,29,Individual,Peter Gunn,Peter Gunn
"Best R&B Vocal Performance, Female",1987,29,Individual,Rapture,Rapture
"Best R&B Vocal Performance, Male",1987,29,Individual,Living In America,Living In America
Best R&B Performance By A Duo Or Group With Vocal,1987,29,Work,Prince,Kiss
"Best R&B Instrumental Performance (Orchestra, Group Or Soloist)",1987,29,Individual,And You Know That,And You Know That
Best Rhythm & Blues Song,1987,29,Individual,Sweet Love,Sweet Love
"Best Jazz Fusion Performance, Vocal Or Instrumental",1987,29,Individual,Double Vision,Double Vision
"Best Jazz Vocal Performance, Female",1987,29,Individual,Timeless,Timeless
"Best Jazz Vocal Performance, Male",1987,29,Individual,'Round Midnight,'Round Midnight
"Best Jazz Vocal Performance, Duo Or Group",1987,29,Individual,Free Fall,Free Fall
"Best Jazz Instrumental Performance, Soloist",1987,29,Individual,Tutu,Tutu
"Best Jazz Instrumental Performance, Group",1987,29,Individual,J Mood,J Mood
"Best Jazz Instrumental Performance, Big Band",1987,29,Individual,The Tonight Show Band With Doc Severinsen,The Tonight Show Band With Doc Severinsen
"Best Country Vocal Performance, Female",1987,29,Individual,Whoever's In New England,Whoever's In New England
"Best Country Vocal Solo Performance, Male",1987,29,Individual,Lost In The Fifties Tonight,Lost In The Fifties Tonight
Best Country Performance By A Duo Or Group With Vocal,1987,29,Individual,Grandpa (Tell Me 'Bout The Good Old Days),Grandpa (Tell Me 'Bout The Good Old Days)
"Best Country Instrumental Performance (Orchestra, Group Or Soloist)",1987,29,Individual,Raisin' The Dickins,Raisin' The Dickins
Best Country Song,1987,29,Individual,Grandpa (Tell Me 'Bout The Good Old Days),Grandpa (Tell Me 'Bout The Good Old Days)
"Best Gospel Performance, Female",1987,29,Individual,Morning Like This,Morning Like This
"Best Gospel Performance, Male",1987,29,Individual,Triumph,Triumph
"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",1987,29,Individual,They Say,They Say
"Best Soul Gospel Performance, Female",1987,29,Individual,I Surrender All,I Surrender All
"Best Soul Gospel Performance, Male",1987,29,Individual,Going Away,Going Away
"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",1987,29,Individual,Let My People Go,Let My People Go
Best Latin Pop Performance,1987,29,Individual,Le Lo Lai,Le Lo Lai
Best Tropical Latin Performance,1987,29,Individual,Escenas,Escenas
Best Mexican-American Performance,1987,29,Individual,Ay Te Dejo En San Antonio,Ay Te Dejo En San Antonio
Best Traditional Blues Recording,1987,29,Individual,Showdown!,Showdown!
Best Traditional Folk Recording,1987,29,Individual,Riding The Midnight Train,Riding The Midnight Train
Best Contemporary Folk Recording,1987,29,Individual,Tribute To Steve Goodman,Tribute To Steve Goodman
Best Polka Recording,1987,29,Individual,Another Polka Celebration,Another Polka Celebration
